,x,y,Category,Class,Cluster
0,8.46437,2.8574522,Benign,Benign,0
1,-1.1770909,6.7441926,Benign,Benign,1
2,1.6584105,-7.1358094,Benign,Benign,1
3,-3.4791818,5.1061835,Benign,Benign,1
4,0.77879536,18.190702,Benign,Benign,1
5,-5.998734,-10.641882,Benign,Benign,1
6,-18.727068,-4.815389,Benign,Benign,1
7,0.7502488,18.242903,Benign,Benign,1
8,0.76844496,18.221481,Benign,Benign,1
9,-5.839907,-10.830346,Benign,Benign,1
10,0.8720022,11.139607,Benign,Benign,1
11,0.7894727,18.201519,Benign,Benign,1
12,-5.9231963,-10.732972,Benign,Benign,1
13,0.87120163,11.140547,Benign,Benign,1
14,0.7808691,18.213741,Benign,Benign,1
15,-5.9012,-10.683753,Benign,Benign,1
16,-5.4036036,2.2920048,Benign,Benign,1
17,-3.5076897,2.4792962,Benign,Benign,1
18,-6.0754423,-10.589543,Benign,Benign,1
19,-5.4071236,2.2973826,Benign,Benign,1
20,-1.4243366,5.7004204,Benign,Benign,1
21,-11.318444,8.805473,Benign,Benign,1
22,-5.988129,-10.7286,Benign,Benign,1
23,-13.37547,-1.3583657,Benign,Benign,1
24,-3.060523,8.735242,Benign,Benign,1
25,-1.8238969,5.7148733,Benign,Benign,1
26,-5.9248695,-10.778399,Benign,Benign,1
27,3.74163,-17.859552,Benign,Benign,1
28,-1.5767426,5.7046785,Benign,Benign,1
29,-6.0270033,-10.715399,Benign,Benign,1
30,3.6997983,-17.818743,Benign,Benign,1
31,-0.055640858,5.698271,Benign,Benign,1
32,-5.999757,-10.769831,Benign,Benign,1
33,3.7404177,-17.850946,Benign,Benign,1
34,-2.4304173,14.198932,Benign,Benign,1
35,0.12649477,-0.61015123,Benign,Benign,1
36,-3.4902837,5.0865693,Benign,Benign,1
37,-5.6143723,8.468946,Benign,Benign,1
38,-6.006875,-10.717458,Benign,Benign,1
39,3.7604022,-17.790014,Benign,Benign,1
40,-5.878031,9.040397,Benign,Benign,1
41,-5.9434624,-10.739566,Benign,Benign,1
42,3.7373488,-17.868711,Benign,Benign,1
43,-5.8674803,9.02338,Benign,Benign,1
44,-6.005691,-10.738941,Benign,Benign,1
45,3.74028,-17.855103,Benign,Benign,1
46,-5.608652,8.758509,Benign,Benign,1
47,-6.088738,-10.815436,Benign,Benign,1
48,3.7499843,-17.85583,Benign,Benign,1
49,-5.5993066,8.7528515,Benign,Benign,1
50,-5.9349236,-10.705669,Benign,Benign,1
51,3.757059,-17.872152,Benign,Benign,1
52,-13.370635,7.451674,Benign,Benign,1
53,-5.964552,-10.739907,Benign,Benign,1
54,3.7381096,-17.85982,Benign,Benign,1
